hosptals,2020_resp_total number of testes patients,2020_resp_number of patients_E. coli,2020_resp_isolation rate_E. coli,2020_resp_number of patients_K. pneumoniae,2020_resp_isolation rate_K. pneumoniae,2020_resp_number of patients_3GCRKP,2020_resp_isolation rate_3GCRKP,2020_resp_number of patients_3GCREC,2020_resp_isolation rate_3GCREC,2020_urine_total number of tested patients,2020_urine_number of patients_E. coli,2020_urine_isolation rate_E. coli,2020_urine_number of patients_K. pneumoniae,2020_urine_isolation rate_K. pneumoniae,2020_urine_number of patients_3GCRKP,2020_urine_isolation rate_3GCRKP,2020_urine_number of patients_3GCREC,2020_urine_isolation rate_3GCREC,2020_blood_total number of tested patients,2020_blood_number of patients_E. coli,2020_blood_isolation rate_E. coli,2020_blood_number of patients_K. pneumoniae,2020_blood_isolation rate_K. pneumoniae,2020_blood_number of patients_3GCRKP,2020_blood_isolation rate_3GCRKP,2020_blood_number of patients_3GCREC,2020_blood_isolation rate_3GCREC,2020_stool_total number of tested patients,2020_stool_number of patients_E. coli,2020_stool_isolation rate_E. coli,2020_stool_number of patients_K. pneumoniae,2020_stool_isolation rate_K. pneumoniae,2020_stool_number of patients_3GCRKP,2020_stool_isolation rate_3GCRKP,2020_stool_number of patients_3GCREC,2020_stool_isolation rate_3GCREC
106,274,11,0.0401,16,0.0584,0,0,2,0.0073,49,12,0.2449,2,0.0408,0,0,1,0.0204,92,3,0.0326,2,0.0217,0,0,2,0.0217,140,5,0.0357,7,0.05,0,0,0,0
107,257,5,0.0195,17,0.0661,1,0.0039,2,0.0078,188,31,0.1649,10,0.0532,0,0,3,0.016,387,7,0.0181,5,0.0129,0,0,1,0.0026,75,8,0.1067,1,0.0133,0,0,1,0.0133
108,222,7,0.0315,15,0.0676,0,0,4,0.018,153,35,0.2288,19,0.1242,4,0.0261,11,0.0719,203,7,0.0345,2,0.0099,1,0.0049,2,0.0099,280,89,0.3179,62,0.2214,1,0.0036,0,0
109,551,17,0.0309,33,0.0599,1,0.0018,1,0.0018,374,50,0.1337,23,0.0615,5,0.0134,16,0.0428,591,13,0.022,16,0.0271,1,0.0017,3,0.0051,76,10,0.1316,0,0,0,0,0,0
110,446,8,0.0179,14,0.0314,0,0,0,0,221,52,0.2353,12,0.0543,0,0,0,0,397,7,0.0176,2,0.005,0,0,1,0.0025,42,21,0.5,8,0.1905,0,0,0,0
111,319,22,0.069,28,0.0878,0,0,5,0.0157,209,75,0.3589,16,0.0766,0,0,25,0.1196,281,12,0.0427,5,0.0178,0,0,7,0.0249,74,0,0,3,0.0405,0,0,0,0
112,286,19,0.0664,71,0.2483,4,0.014,1,0.0035,135,32,0.237,11,0.0815,3,0.0222,8,0.0593,204,19,0.0931,7,0.0343,2,0.0098,6,0.0294,153,12,0.0784,3,0.0196,0,0,1,0.0065
113,378,22,0.0582,31,0.082,1,0.0026,5,0.0132,222,42,0.1892,15,0.0676,2,0.009,9,0.0405,263,7,0.0266,5,0.019,0,0,1,0.0038,344,57,0.1657,18,0.0523,0,0,7,0.0203
114,574,32,0.0557,42,0.0732,2,0.0035,4,0.007,480,86,0.1792,21,0.0438,0,0,15,0.0313,700,18,0.0257,7,0.01,0,0,5,0.0071,16,1,0.0625,0,0,0,0,0,0
115,210,8,0.0381,15,0.0714,1,0.0048,3,0.0143,220,31,0.1409,9,0.0409,1,0.0045,7,0.0318,278,6,0.0216,4,0.0144,0,0,1,0.0036,19,0,0,0,0,0,0,0,0
116,177,16,0.0904,18,0.1017,1,0.0056,1,0.0056,157,63,0.4013,19,0.121,3,0.0191,15,0.0955,48,2,0.0417,0,0,0,0,1,0.0208,5,0,0,0,0,0,0,0,0
117,178,10,0.0562,13,0.073,0,0,2,0.0112,147,52,0.3537,14,0.0952,1,0.0068,14,0.0952,206,15,0.0728,7,0.034,0,0,0,0,70,3,0.0429,0,0,0,0,0,0
118,527,25,0.0474,38,0.0721,0,0,1,0.0019,495,72,0.1455,22,0.0444,0,0,0,0,385,14,0.0364,6,0.0156,0,0,0,0,109,40,0.367,21,0.1927,0,0,0,0
119,474,11,0.0232,37,0.0781,0,0,0,0,546,87,0.1593,31,0.0568,0,0,0,0,672,11,0.0164,9,0.0134,0,0,0,0,18,12,0.6667,5,0.2778,0,0,0,0
120,70,5,0.0714,1,0.0143,0,0,0,0,18,3,0.1667,2,0.1111,0,0,0,0,28,1,0.0357,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
121,141,11,0.078,12,0.0851,0,0,2,0.0142,128,20,0.1563,8,0.0625,0,0,7,0.0547,285,8,0.0281,6,0.0211,0,0,3,0.0105,6,3,0.5,1,0.1667,0,0,0,0
122,196,7,0.0357,11,0.0561,4,0.0204,1,0.0051,89,17,0.191,8,0.0899,2,0.0225,5,0.0562,134,7,0.0522,5,0.0373,1,0.0075,5,0.0373,16,0,0,0,0,0,0,0,0
123,97,7,0.0722,10,0.1031,1,0.0103,3,0.0309,313,133,0.4249,30,0.0958,2,0.0064,71,0.2268,13,0,0,0,0,0,0,0,0,13,7,0.5385,3,0.2308,0,0,0,0
124,95,9,0.0947,13,0.1368,0,0,1,0.0105,96,23,0.2396,8,0.0833,1,0.0104,2,0.0208,107,9,0.0841,3,0.028,0,0,1,0.0093,18,16,0.8889,0,0,0,0,0,0
125,177,11,0.0621,10,0.0565,0,0,6,0.0339,67,21,0.3134,9,0.1343,0,0,9,0.1343,50,0,0,0,0,0,0,0,0,37,8,0.2162,6,0.1622,1,0.027,2,0.0541
126,428,3,0.007,13,0.0304,0,0,0,0,100,25,0.25,3,0.03,0,0,9,0.09,117,4,0.0342,0,0,0,0,0,0,149,68,0.4564,16,0.1074,0,0,1,0.0067
127,598,35,0.0585,36,0.0602,0,0,7,0.0117,626,125,0.1997,30,0.0479,0,0,21,0.0335,554,8,0.0144,5,0.009,0,0,1,0.0018,147,0,0,0,0,0,0,0,0
128,288,12,0.0417,24,0.0833,1,0.0035,4,0.0139,246,48,0.1951,15,0.061,3,0.0122,10,0.0407,340,15,0.0441,6,0.0176,0,0,4,0.0118,87,12,0.1379,5,0.0575,0,0,0,0
129,941,16,0.017,39,0.0414,1,0.0011,3,0.0032,139,25,0.1799,4,0.0288,0,0,4,0.0288,368,11,0.0299,9,0.0245,0,0,2,0.0054,53,0,0,0,0,0,0,0,0
130,1416,10,0.0071,0,0,0,0,0,0,233,34,0.1459,0,0,0,0,8,0.0343,489,7,0.0143,0,0,0,0,1,0.002,174,0,0,0,0,0,0,0,0
131,424,17,0.0401,31,0.0731,8,0.0189,1,0.0024,314,36,0.1146,18,0.0573,1,0.0032,11,0.035,523,13,0.0249,6,0.0115,3,0.0057,3,0.0057,29,0,0,0,0,0,0,0,0
132,142,4,0.0282,2,0.0141,0,0,0,0,72,13,0.1806,2,0.0278,0,0,0,0,146,1,0.0068,2,0.0137,0,0,0,0,91,0,0,0,0,0,0,0,0
133,208,9,0.0433,13,0.0625,0,0,3,0.0144,107,25,0.2336,1,0.0093,1,0.0093,4,0.0374,298,8,0.0268,4,0.0134,1,0.0034,1,0.0034,31,0,0,0,0,0,0,0,0
134,418,6,0.0144,27,0.0646,0,0,4,0.0096,44,14,0.3182,2,0.0455,1,0.0227,4,0.0909,196,10,0.051,0,0,0,0,2,0.0102,154,49,0.3182,1,0.0065,0,0,11,0.0714
135,232,19,0.0819,24,0.1034,1,0.0043,5,0.0216,235,50,0.2128,7,0.0298,0,0,12,0.0511,336,6,0.0179,3,0.0089,0,0,1,0.003,118,1,0.0085,0,0,0,0,0,0
136,685,14,0.0204,42,0.0613,0,0,3,0.0044,300,57,0.19,12,0.04,0,0,12,0.04,471,7,0.0149,4,0.0085,0,0,1,0.0021,20,0,0,0,0,0,0,0,0
137,85,7,0.0824,10,0.1176,3,0.0353,4,0.0471,77,20,0.2597,4,0.0519,0,0,6,0.0779,115,5,0.0435,3,0.0261,0,0,0,0,180,1,0.0056,0,0,0,0,0,0
138,356,17,0.0478,25,0.0702,4,0.0112,2,0.0056,402,44,0.1095,12,0.0299,4,0.01,10,0.0249,397,7,0.0176,1,0.0025,0,0,1,0.0025,102,6,0.0588,0,0,0,0,5,0.049
139,322,9,0.028,23,0.0714,1,0.0031,2,0.0062,27,3,0.1111,0,0,0,0,1,0.037,583,24,0.0412,9,0.0154,0,0,2,0.0034,484,80,0.1653,30,0.062,7,0.0145,36,0.0744
140,888,14,0.0158,17,0.0191,2,0.0023,7,0.0079,511,56,0.1096,27,0.0528,3,0.0059,16,0.0313,600,14,0.0233,5,0.0083,0,0,3,0.005,160,3,0.0188,0,0,0,0,2,0.0125
141,351,8,0.0228,21,0.0598,0,0,2,0.0057,297,31,0.1044,9,0.0303,2,0.0067,9,0.0303,607,15,0.0247,9,0.0148,1,0.0016,2,0.0033,253,0,0,4,0.0158,3,0.0119,0,0
142,547,21,0.0384,59,0.1079,1,0.0018,1,0.0018,638,115,0.1803,49,0.0768,5,0.0078,20,0.0313,719,21,0.0292,18,0.025,2,0.0028,0,0,58,6,0.1034,0,0,0,0,0,0
143,188,11,0.0585,19,0.1011,5,0.0266,3,0.016,246,64,0.2602,18,0.0732,3,0.0122,15,0.061,264,7,0.0265,4,0.0152,1,0.0038,0,0,84,1,0.0119,1,0.0119,0,0,0,0
144,154,10,0.0649,13,0.0844,0,0,3,0.0195,93,19,0.2043,8,0.086,0,0,1,0.0108,203,8,0.0394,3,0.0148,1,0.0049,2,0.0099,287,11,0.0383,1,0.0035,0,0,2,0.007
145,366,6,0.0164,1,0.0027,0,0,1,0.0027,160,12,0.075,4,0.025,3,0.0188,4,0.025,303,4,0.0132,0,0,0,0,1,0.0033,162,2,0.0123,0,0,0,0,0,0
146,481,9,0.0187,15,0.0312,3,0.0062,4,0.0083,488,92,0.1885,28,0.0574,4,0.0082,28,0.0574,743,23,0.031,8,0.0108,3,0.004,5,0.0067,269,1,0.0037,0,0,0,0,0,0
147,127,5,0.0394,10,0.0787,1,0.0079,3,0.0236,119,32,0.2689,8,0.0672,0,0,6,0.0504,199,9,0.0452,4,0.0201,0,0,0,0,26,0,0,0,0,0,0,0,0
148,319,13,0.0408,19,0.0596,4,0.0125,6,0.0188,501,24,0.0479,12,0.024,3,0.006,3,0.006,617,9,0.0146,4,0.0065,0,0,4,0.0065,4,0,0,0,0,0,0,0,0
149,64,4,0.0625,11,0.1719,0,0,2,0.0313,82,30,0.3659,5,0.061,0,0,6,0.0732,92,5,0.0543,2,0.0217,0,0,0,0,106,14,0.1321,7,0.066,0,0,1,0.0094
150,130,5,0.0385,29,0.2231,1,0.0077,0,0,208,73,0.351,23,0.1106,2,0.0096,23,0.1106,153,12,0.0784,3,0.0196,0,0,4,0.0261,27,8,0.2963,3,0.1111,0,0,1,0.037
151,361,12,0.0332,21,0.0582,0,0,3,0.0083,227,38,0.1674,7,0.0308,0,0,8,0.0352,406,21,0.0517,7,0.0172,0,0,4,0.0099,14,0,0,0,0,0,0,0,0
152,193,6,0.0311,14,0.0725,2,0.0104,4,0.0207,65,22,0.3385,2,0.0308,0,0,8,0.1231,32,2,0.0625,0,0,0,0,2,0.0625,3,0,0,0,0,0,0,0,0
153,168,2,0.0119,4,0.0238,1,0.006,0,0,116,28,0.2414,8,0.069,3,0.0259,5,0.0431,200,8,0.04,4,0.02,0,0,0,0,363,2,0.0055,0,0,0,0,0,0
154,76,1,0.0132,10,0.1316,0,0,0,0,57,11,0.193,2,0.0351,0,0,2,0.0351,79,3,0.038,1,0.0127,0,0,1,0.0127,2,0,0,0,0,0,0,0,0
155,132,5,0.0379,14,0.1061,0,0,1,0.0076,137,33,0.2409,8,0.0584,0,0,4,0.0292,160,8,0.05,5,0.0313,0,0,0,0,81,0,0,0,0,0,0,0,0
156,227,2,0.0088,17,0.0749,0,0,0,0,26,3,0.1154,2,0.0769,0,0,1,0.0385,61,0,0,0,0,0,0,0,0,260,4,0.0154,1,0.0038,1,0.0038,0,0
157,312,13,0.0417,32,0.1026,5,0.016,5,0.016,173,47,0.2717,14,0.0809,1,0.0058,22,0.1272,252,14,0.0556,1,0.004,0,0,3,0.0119,66,0,0,0,0,0,0,0,0
158,454,24,0.0529,36,0.0793,3,0.0066,8,0.0176,233,40,0.1717,19,0.0815,2,0.0086,13,0.0558,526,10,0.019,9,0.0171,1,0.0019,1,0.0019,7,0,0,0,0,0,0,0,0
159,168,10,0.0595,7,0.0417,0,0,1,0.006,146,41,0.2808,9,0.0616,1,0.0068,9,0.0616,225,5,0.0222,1,0.0044,0,0,1,0.0044,107,2,0.0187,0,0,0,0,0,0
160,41,1,0.0244,2,0.0488,0,0,1,0.0244,68,21,0.3088,6,0.0882,0,0,4,0.0588,50,4,0.08,2,0.04,0,0,1,0.02,51,4,0.0784,0,0,0,0,0,0
161,316,10,0.0316,24,0.0759,2,0.0063,6,0.019,199,40,0.201,10,0.0503,4,0.0201,8,0.0402,290,9,0.031,3,0.0103,0,0,4,0.0138,98,1,0.0102,0,0,0,0,0,0
162,106,7,0.066,10,0.0943,0,0,3,0.0283,107,32,0.2991,7,0.0654,0,0,8,0.0748,147,11,0.0748,4,0.0272,0,0,1,0.0068,84,1,0.0119,0,0,0,0,0,0
163,243,19,0.0782,18,0.0741,1,0.0041,2,0.0082,146,36,0.2466,14,0.0959,2,0.0137,5,0.0342,349,8,0.0229,6,0.0172,1,0.0029,2,0.0057,38,18,0.4737,7,0.1842,0,0,0,0
164,329,0,0,6,0.0182,0,0,0,0,88,23,0.2614,9,0.1023,0,0,2,0.0227,237,11,0.0464,4,0.0169,0,0,3,0.0127,144,7,0.0486,6,0.0417,0,0,0,0
165,76,8,0.1053,7,0.0921,0,0,0,0,85,26,0.3059,12,0.1412,0,0,4,0.0471,161,11,0.0683,2,0.0124,0,0,1,0.0062,7,0,0,0,0,0,0,0,0
166,1235,11,0.0089,25,0.0202,0,0,0,0,128,28,0.2188,6,0.0469,0,0,5,0.0391,349,11,0.0315,6,0.0172,1,0.0029,2,0.0057,96,9,0.0938,1,0.0104,0,0,1,0.0104
167,128,2,0.0156,13,0.1016,0,0,0,0,66,23,0.3485,4,0.0606,0,0,6,0.0909,45,1,0.0222,0,0,0,0,0,0,17,0,0,2,0.1176,0,0,0,0
168,147,2,0.0136,10,0.068,0,0,1,0.0068,113,25,0.2212,6,0.0531,1,0.0088,7,0.0619,205,4,0.0195,5,0.0244,0,0,0,0,22,0,0,0,0,0,0,0,0
169,67,6,0.0896,12,0.1791,1,0.0149,4,0.0597,77,33,0.4286,9,0.1169,0,0,18,0.2338,107,8,0.0748,1,0.0093,0,0,3,0.028,46,2,0.0435,0,0,0,0,0,0
170,88,4,0.0455,13,0.1477,0,0,0,0,46,7,0.1522,3,0.0652,0,0,1,0.0217,130,6,0.0462,2,0.0154,0,0,0,0,73,2,0.0274,0,0,0,0,2,0.0274
171,269,4,0.0149,5,0.0186,0,0,0,0,90,28,0.3111,5,0.0556,0,0,3,0.0333,200,6,0.03,1,0.005,0,0,2,0.01,51,21,0.4118,7,0.1373,0,0,0,0
172,166,8,0.0482,7,0.0422,0,0,2,0.012,171,42,0.2456,4,0.0234,0,0,12,0.0702,304,5,0.0164,3,0.0099,0,0,1,0.0033,11,2,0.1818,0,0,0,0,1,0.0909
173,107,8,0.0748,9,0.0841,0,0,1,0.0093,107,24,0.2243,5,0.0467,1,0.0093,6,0.0561,179,6,0.0335,3,0.0168,0,0,2,0.0112,90,7,0.0778,0,0,0,0,1,0.0111
174,68,7,0.1029,10,0.1471,1,0.0147,2,0.0294,68,25,0.3676,8,0.1176,0,0,6,0.0882,94,5,0.0532,2,0.0213,0,0,0,0,3,1,0.3333,2,0.6667,1,0.3333,1,0.3333
175,171,8,0.0468,9,0.0526,0,0,2,0.0117,104,17,0.1635,4,0.0385,0,0,4,0.0385,378,10,0.0265,5,0.0132,0,0,3,0.0079,40,3,0.075,0,0,0,0,0,0
176,99,3,0.0303,23,0.2323,6,0.0606,1,0.0101,39,16,0.4103,9,0.2308,3,0.0769,11,0.2821,14,0,0,0,0,0,0,0,0,106,2,0.0189,2,0.0189,0,0,0,0
177,80,5,0.0625,2,0.025,0,0,0,0,105,25,0.2381,6,0.0571,0,0,0,0,158,8,0.0506,4,0.0253,0,0,0,0,34,3,0.0882,0,0,0,0,0,0
178,242,11,0.0455,6,0.0248,0,0,0,0,149,25,0.1678,5,0.0336,0,0,1,0.0067,336,4,0.0119,2,0.006,0,0,1,0.003,26,0,0,0,0,0,0,0,0
179,91,5,0.0549,8,0.0879,1,0.011,0,0,90,26,0.2889,7,0.0778,0,0,1,0.0111,151,4,0.0265,4,0.0265,0,0,0,0,50,32,0.64,15,0.3,0,0,0,0
180,43,5,0.1163,6,0.1395,0,0,3,0.0698,92,26,0.2826,4,0.0435,1,0.0109,4,0.0435,145,14,0.0966,2,0.0138,0,0,5,0.0345,88,0,0,0,0,0,0,0,0
181,72,6,0.0833,8,0.1111,0,0,2,0.0278,78,23,0.2949,4,0.0513,0,0,4,0.0513,180,12,0.0667,2,0.0111,0,0,4,0.0222,63,0,0,1,0.0159,0,0,0,0
182,272,7,0.0257,19,0.0699,1,0.0037,1,0.0037,166,45,0.2711,9,0.0542,0,0,15,0.0904,291,13,0.0447,4,0.0137,0,0,2,0.0069,31,1,0.0323,0,0,0,0,0,0
183,156,3,0.0192,17,0.109,2,0.0128,1,0.0064,218,54,0.2477,9,0.0413,1,0.0046,14,0.0642,239,14,0.0586,4,0.0167,0,0,1,0.0042,7,0,0,0,0,0,0,0,0
184,133,1,0.0075,9,0.0677,0,0,0,0,130,36,0.2769,11,0.0846,0,0,6,0.0462,237,6,0.0253,4,0.0169,0,0,1,0.0042,55,0,0,0,0,0,0,0,0
185,43,1,0.0233,4,0.093,0,0,0,0,33,8,0.2424,5,0.1515,0,0,0,0,55,2,0.0364,2,0.0364,0,0,0,0,86,1,0.0116,0,0,0,0,0,0
186,17,1,0.0588,0,0,0,0,1,0.0588,9,2,0.2222,1,0.1111,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
187,114,6,0.0526,8,0.0702,0,0,3,0.0263,86,29,0.3372,5,0.0581,0,0,6,0.0698,132,6,0.0455,3,0.0227,0,0,2,0.0152,77,2,0.026,0,0,0,0,1,0.013
188,287,13,0.0453,1,0.0035,0,0,0,0,154,29,0.1883,8,0.0519,0,0,8,0.0519,289,12,0.0415,3,0.0104,0,0,4,0.0138,25,18,0.72,9,0.36,0,0,0,0
189,124,4,0.0323,4,0.0323,0,0,0,0,84,15,0.1786,3,0.0357,0,0,3,0.0357,120,4,0.0333,2,0.0167,0,0,0,0,45,0,0,0,0,0,0,0,0
190,249,11,0.0442,43,0.1727,27,0.1084,5,0.0201,226,44,0.1947,38,0.1681,22,0.0973,12,0.0531,323,11,0.0341,18,0.0557,11,0.0341,4,0.0124,40,17,0.425,0,0,0,0,0,0
191,100,3,0.03,19,0.19,1,0.01,2,0.02,88,31,0.3523,7,0.0795,1,0.0114,17,0.1932,71,5,0.0704,1,0.0141,0,0,1,0.0141,58,2,0.0345,0,0,0,0,0,0
192,93,5,0.0538,9,0.0968,0,0,0,0,116,28,0.2414,4,0.0345,0,0,3,0.0259,134,10,0.0746,7,0.0522,0,0,1,0.0075,19,10,0.5263,0,0,0,0,1,0.0526
193,200,9,0.045,11,0.055,0,0,2,0.01,151,49,0.3245,12,0.0795,0,0,17,0.1126,134,7,0.0522,3,0.0224,0,0,2,0.0149,17,2,0.1176,3,0.1765,1,0.0588,0,0
194,240,8,0.0333,21,0.0875,0,0,2,0.0083,204,52,0.2549,8,0.0392,0,0,10,0.049,231,10,0.0433,4,0.0173,1,0.0043,1,0.0043,196,26,0.1327,12,0.0612,12,0.0612,19,0.0969
195,130,9,0.0692,10,0.0769,1,0.0077,3,0.0231,84,30,0.3571,4,0.0476,1,0.0119,8,0.0952,176,18,0.1023,5,0.0284,1,0.0057,3,0.017,48,16,0.3333,0,0,0,0,0,0
196,163,9,0.0552,22,0.135,3,0.0184,4,0.0245,154,59,0.3831,25,0.1623,6,0.039,17,0.1104,159,9,0.0566,5,0.0314,2,0.0126,1,0.0063,11,7,0.6364,6,0.5455,0,0,0,0
197,481,21,0.0437,29,0.0603,3,0.0062,3,0.0062,192,45,0.2344,10,0.0521,1,0.0052,10,0.0521,375,12,0.032,2,0.0053,1,0.0027,4,0.0107,78,64,0.8205,0,0,0,0,0,0
198,244,1,0.0041,12,0.0492,0,0,1,0.0041,145,38,0.2621,10,0.069,0,0,8,0.0552,118,9,0.0763,4,0.0339,0,0,2,0.0169,66,24,0.3636,3,0.0455,0,0,0,0
199,70,6,0.0857,5,0.0714,0,0,0,0,46,19,0.413,6,0.1304,0,0,1,0.0217,37,1,0.027,2,0.0541,0,0,0,0,21,4,0.1905,0,0,0,0,0,0
200,198,7,0.0354,9,0.0455,1,0.0051,5,0.0253,114,35,0.307,5,0.0439,0,0,5,0.0439,168,8,0.0476,2,0.0119,0,0,0,0,7,1,0.1429,0,0,0,0,0,0
201,122,2,0.0164,7,0.0574,0,0,0,0,86,26,0.3023,4,0.0465,1,0.0116,9,0.1047,117,7,0.0598,0,0,0,0,2,0.0171,38,22,0.5789,11,0.2895,2,0.0526,9,0.2368
202,60,3,0.05,2,0.0333,0,0,0,0,46,16,0.3478,2,0.0435,0,0,3,0.0652,46,2,0.0435,0,0,0,0,0,0,48,1,0.0208,0,0,0,0,0,0
203,70,5,0.0714,5,0.0714,0,0,2,0.0286,102,36,0.3529,5,0.049,0,0,12,0.1176,70,1,0.0143,1,0.0143,0,0,0,0,80,1,0.0125,0,0,0,0,0,0
204,74,4,0.0541,8,0.1081,1,0.0135,3,0.0405,63,16,0.254,4,0.0635,0,0,5,0.0794,72,4,0.0556,1,0.0139,0,0,1,0.0139,122,0,0,0,0,0,0,0,0
205,107,4,0.0374,11,0.1028,1,0.0093,1,0.0093,98,31,0.3163,10,0.102,0,0,11,0.1122,185,12,0.0649,6,0.0324,0,0,2,0.0108,95,53,0.5579,32,0.3368,0,0,0,0
206,279,26,0.0932,29,0.1039,1,0.0036,6,0.0215,210,55,0.2619,9,0.0429,0,0,16,0.0762,522,18,0.0345,6,0.0115,0,0,5,0.0096,11,0,0,0,0,0,0,0,0
207,875,6,0.0069,12,0.0137,0,0,3,0.0034,165,42,0.2545,11,0.0667,1,0.0061,7,0.0424,325,15,0.0462,9,0.0277,1,0.0031,2,0.0062,66,1,0.0152,0,0,0,0,0,0
208,281,27,0.0961,48,0.1708,2,0.0071,6,0.0214,168,53,0.3155,14,0.0833,1,0.006,9,0.0536,243,16,0.0658,11,0.0453,1,0.0041,3,0.0123,137,0,0,0,0,0,0,0,0
209,228,14,0.0614,14,0.0614,3,0.0132,12,0.0526,73,24,0.3288,9,0.1233,1,0.0137,10,0.137,122,2,0.0164,1,0.0082,0,0,0,0,8,1,0.125,0,0,0,0,0,0
210,695,7,0.0101,19,0.0273,0,0,1,0.0014,113,26,0.2301,4,0.0354,0,0,6,0.0531,282,7,0.0248,2,0.0071,0,0,0,0,126,8,0.0635,0,0,0,0,3,0.0238
211,402,17,0.0423,33,0.0821,3,0.0075,8,0.0199,325,56,0.1723,20,0.0615,2,0.0062,13,0.04,418,14,0.0335,6,0.0144,2,0.0048,1,0.0024,68,0,0,0,0,0,0,0,0
212,249,6,0.0241,11,0.0442,0,0,4,0.0161,155,36,0.2323,13,0.0839,0,0,3,0.0194,270,7,0.0259,4,0.0148,0,0,0,0,71,1,0.0141,4,0.0563,0,0,0,0
213,388,8,0.0206,22,0.0567,0,0,0,0,354,34,0.096,13,0.0367,0,0,1,0.0028,174,1,0.0057,2,0.0115,0,0,0,0,29,0,0,0,0,0,0,0,0
214,314,4,0.0127,10,0.0318,0,0,1,0.0032,235,55,0.234,18,0.0766,3,0.0128,17,0.0723,422,15,0.0355,9,0.0213,0,0,5,0.0118,25,0,0,0,0,0,0,0,0
215,117,7,0.0598,6,0.0513,0,0,2,0.0171,141,36,0.2553,9,0.0638,1,0.0071,8,0.0567,190,9,0.0474,2,0.0105,0,0,0,0,81,3,0.037,0,0,0,0,3,0.037
216,1065,8,0.0075,10,0.0094,0,0,0,0,102,29,0.2843,6,0.0588,2,0.0196,5,0.049,147,11,0.0748,3,0.0204,0,0,0,0,126,0,0,0,0,0,0,0,0
217,195,3,0.0154,4,0.0205,2,0.0103,0,0,129,32,0.2481,9,0.0698,2,0.0155,7,0.0543,256,7,0.0273,2,0.0078,0,0,2,0.0078,48,3,0.0625,0,0,0,0,0,0
218,217,11,0.0507,18,0.0829,0,0,1,0.0046,191,37,0.1937,13,0.0681,0,0,6,0.0314,346,7,0.0202,6,0.0173,0,0,3,0.0087,9,1,0.1111,0,0,0,0,0,0
219,287,14,0.0488,22,0.0767,1,0.0035,8,0.0279,356,56,0.1573,16,0.0449,2,0.0056,22,0.0618,350,16,0.0457,6,0.0171,0,0,6,0.0171,194,38,0.1959,10,0.0515,0,0,1,0.0052
220,158,6,0.038,12,0.0759,0,0,0,0,142,33,0.2324,9,0.0634,1,0.007,5,0.0352,200,3,0.015,1,0.005,0,0,0,0,39,23,0.5897,8,0.2051,0,0,0,0
221,161,14,0.087,10,0.0621,2,0.0124,2,0.0124,66,13,0.197,7,0.1061,2,0.0303,3,0.0455,35,0,0,0,0,0,0,0,0,196,25,0.1276,2,0.0102,0,0,0,0
222,606,19,0.0314,34,0.0561,2,0.0033,5,0.0083,391,70,0.179,10,0.0256,0,0,14,0.0358,566,14,0.0247,3,0.0053,0,0,2,0.0035,62,0,0,0,0,0,0,0,0
223,350,19,0.0543,31,0.0886,0,0,0,0,141,37,0.2624,11,0.078,0,0,0,0,213,4,0.0188,0,0,0,0,0,0,116,9,0.0776,5,0.0431,1,0.0086,1,0.0086
224,761,46,0.0604,43,0.0565,5,0.0066,7,0.0092,670,159,0.2373,42,0.0627,4,0.006,20,0.0299,986,57,0.0578,14,0.0142,0,0,10,0.0101,112,6,0.0536,0,0,0,0,2,0.0179
225,352,15,0.0426,18,0.0511,2,0.0057,4,0.0114,194,32,0.1649,3,0.0155,1,0.0052,11,0.0567,461,11,0.0239,5,0.0108,1,0.0022,5,0.0108,27,0,0,0,0,0,0,0,0
226,571,16,0.028,34,0.0595,0,0,4,0.007,311,41,0.1318,16,0.0514,1,0.0032,5,0.0161,635,11,0.0173,4,0.0063,0,0,1,0.0016,111,18,0.1622,2,0.018,2,0.018,17,0.1532
227,253,5,0.0198,28,0.1107,0,0,2,0.0079,139,27,0.1942,4,0.0288,0,0,5,0.036,275,4,0.0145,6,0.0218,0,0,1,0.0036,97,16,0.1649,10,0.1031,0,0,7,0.0722
228,296,18,0.0608,36,0.1216,7,0.0236,7,0.0236,210,45,0.2143,11,0.0524,1,0.0048,15,0.0714,460,15,0.0326,4,0.0087,1,0.0022,2,0.0043,79,7,0.0886,0,0,0,0,7,0.0886
229,776,25,0.0322,25,0.0322,3,0.0039,11,0.0142,834,182,0.2182,27,0.0324,5,0.006,41,0.0492,398,53,0.1332,8,0.0201,1,0.0025,13,0.0327,8,7,0.875,1,0.125,0,0,5,0.625
230,161,6,0.0373,6,0.0373,0,0,3,0.0186,56,21,0.375,2,0.0357,0,0,6,0.1071,64,2,0.0313,3,0.0469,0,0,0,0,124,7,0.0565,3,0.0242,3,0.0242,4,0.0323
231,349,8,0.0229,37,0.106,1,0.0029,2,0.0057,138,34,0.2464,6,0.0435,0,0,10,0.0725,361,12,0.0332,6,0.0166,0,0,0,0,108,0,0,1,0.0093,0,0,0,0
232,131,7,0.0534,21,0.1603,0,0,1,0.0076,52,34,0.6538,9,0.1731,0,0,24,0.4615,44,2,0.0455,1,0.0227,0,0,2,0.0455,52,9,0.1731,0,0,0,0,1,0.0192
