hosptals,2020_resp_total number of testes patients,2020_resp_number of patients_E. coli,2020_resp_isolation rate_E. coli,2020_resp_number of patients_K. pneumoniae,2020_resp_isolation rate_K. pneumoniae,2020_resp_number of patients_3GCRKP,2020_resp_isolation rate_3GCRKP,2020_resp_number of patients_3GCREC,2020_resp_isolation rate_3GCREC,2020_urine_total number of tested patients,2020_urine_number of patients_E. coli,2020_urine_isolation rate_E. coli,2020_urine_number of patients_K. pneumoniae,2020_urine_isolation rate_K. pneumoniae,2020_urine_number of patients_3GCRKP,2020_urine_isolation rate_3GCRKP,2020_urine_number of patients_3GCREC,2020_urine_isolation rate_3GCREC,2020_blood_total number of tested patients,2020_blood_number of patients_E. coli,2020_blood_isolation rate_E. coli,2020_blood_number of patients_K. pneumoniae,2020_blood_isolation rate_K. pneumoniae,2020_blood_number of patients_3GCRKP,2020_blood_isolation rate_3GCRKP,2020_blood_number of patients_3GCREC,2020_blood_isolation rate_3GCREC,2020_stool_total number of tested patients,2020_stool_number of patients_E. coli,2020_stool_isolation rate_E. coli,2020_stool_number of patients_K. pneumoniae,2020_stool_isolation rate_K. pneumoniae,2020_stool_number of patients_3GCRKP,2020_stool_isolation rate_3GCRKP,2020_stool_number of patients_3GCREC,2020_stool_isolation rate_3GCREC
57,39,2,0.0513,3,0.0769,0,0,0,0,36,11,0.3056,3,0.0833,0,0,3,0.0833,40,3,0.075,0,0,0,0,1,0.025,13,0,0,0,0,0,0,0,0
58,58,1,0.0172,6,0.1034,1,0.0172,0,0,36,13,0.3611,2,0.0556,0,0,2,0.0556,34,4,0.1176,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
59,131,11,0.084,11,0.084,0,0,7,0.0534,42,18,0.4286,5,0.119,0,0,10,0.2381,12,0,0,0,0,0,0,0,0,69,51,0.7391,4,0.058,0,0,0,0
60,318,13,0.0409,13,0.0409,0,0,3,0.0094,176,48,0.2727,11,0.0625,0,0,7,0.0398,204,10,0.049,2,0.0098,0,0,1,0.0049,38,23,0.6053,0,0,0,0,0,0
61,141,7,0.0496,16,0.1135,2,0.0142,1,0.0071,100,21,0.21,5,0.05,0,0,2,0.02,120,7,0.0583,0,0,0,0,2,0.0167,27,4,0.1481,0,0,0,0,1,0.037
62,85,3,0.0353,9,0.1059,1,0.0118,0,0,58,21,0.3621,5,0.0862,0,0,2,0.0345,53,3,0.0566,3,0.0566,0,0,0,0,14,2,0.1429,0,0,0,0,0,0
63,97,6,0.0619,10,0.1031,0,0,2,0.0206,69,29,0.4203,7,0.1014,0,0,5,0.0725,55,4,0.0727,2,0.0364,0,0,0,0,185,13,0.0703,0,0,0,0,0,0
64,279,14,0.0502,25,0.0896,10,0.0358,1,0.0036,248,52,0.2097,28,0.1129,14,0.0565,8,0.0323,366,11,0.0301,11,0.0301,5,0.0137,1,0.0027,41,0,0,0,0,0,0,0,0
65,215,18,0.0837,17,0.0791,2,0.0093,2,0.0093,160,36,0.225,12,0.075,2,0.0125,9,0.0563,169,7,0.0414,2,0.0118,1,0.0059,1,0.0059,185,0,0,0,0,0,0,0,0
66,450,10,0.0222,19,0.0422,0,0,0,0,340,39,0.1147,13,0.0382,2,0.0059,9,0.0265,437,11,0.0252,5,0.0114,1,0.0023,0,0,11,0,0,0,0,0,0,0,0
67,64,2,0.0313,2,0.0313,1,0.0156,0,0,26,9,0.3462,0,0,0,0,2,0.0769,99,2,0.0202,1,0.0101,0,0,2,0.0202,54,2,0.037,0,0,0,0,0,0
68,191,8,0.0419,10,0.0524,0,0,0,0,161,46,0.2857,9,0.0559,0,0,0,0,137,4,0.0292,0,0,0,0,0,0,59,10,0.1695,0,0,0,0,1,0.0169
69,128,1,0.0078,1,0.0078,0,0,0,0,61,23,0.377,1,0.0164,0,0,3,0.0492,73,4,0.0548,0,0,0,0,1,0.0137,33,18,0.5455,6,0.1818,0,0,2,0.0606
70,203,9,0.0443,16,0.0788,1,0.0049,3,0.0148,67,17,0.2537,2,0.0299,0,0,4,0.0597,80,2,0.025,1,0.0125,0,0,0,0,38,1,0.0263,0,0,0,0,0,0
71,108,5,0.0463,9,0.0833,0,0,2,0.0185,138,40,0.2899,6,0.0435,0,0,6,0.0435,117,6,0.0513,1,0.0085,0,0,1,0.0085,14,1,0.0714,0,0,0,0,0,0
72,98,1,0.0102,5,0.051,0,0,1,0.0102,114,32,0.2807,15,0.1316,0,0,9,0.0789,160,5,0.0313,2,0.0125,0,0,1,0.0063,41,0,0,0,0,0,0,0,0
73,540,15,0.0278,13,0.0241,0,0,2,0.0037,373,74,0.1984,18,0.0483,1,0.0027,13,0.0349,525,36,0.0686,17,0.0324,0,0,2,0.0038,142,7,0.0493,0,0,0,0,0,0
74,372,41,0.1102,22,0.0591,0,0,0,0,264,52,0.197,13,0.0492,0,0,0,0,359,8,0.0223,2,0.0056,0,0,0,0,55,5,0.0909,0,0,0,0,0,0
75,129,6,0.0465,17,0.1318,0,0,3,0.0233,64,17,0.2656,5,0.0781,0,0,2,0.0313,116,3,0.0259,1,0.0086,0,0,1,0.0086,99,0,0,0,0,0,0,0,0
